pi_name,submissions,institute,nih_grant_count,nih_total_funding,nsf_award_count,nsf_total_funding,nih_grant_numbers,nsf_award_ids
Zach Ma,3,UCSB,50,19565989,3,1337801,R24OD039745; R01AI148787; R01DA064130; R01AI148787; R01AI148787; R01AI148787; R01AI148787; R01AI148787; R01CA238217; R01CA238217; R01AI137112; R01AI137112; R01AI137112; R01AI137112; R01AI137112; R21AI188026; R01CA238217; R21AI191166; R01CA238217; R01AI085091; R01CA238217; R01AI085091; R01DC006104; R01DC006104; R01AI085091; R01DC006104; R01AI085091; R01DC006104; R01DC006104; R01AI085091; R43AI106112; K08CA256045; R21CA274044; R01HL024230; R01HL024230; K76AG059929; R21AI115138; R21AI099843; K76AG059929; R21AI072038; K76AG059929; R21AI071208; R21CA274044; K08CA256045; K08CA256045; K08CA256045; R01HL024230; R21AI099843; R21AI072038; K01DA057395,2612510; 2313956; 2223251
Wolf-Dietrich Heyer,1,"Department of Microbiology and Molecular Genetics, UC Davis",50,19363632,0,0,R01HD109322; R01HD109322; R01HD109322; R01CA154920; R01CA154920; R01CA154920; R01CA154920; R01CA154920; R01CA273911; R01CA273911; R01CA273911; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01CA092276; R01CA092276; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; R01GM058015; T32CA108459; R01GM058015; R01GM058015; R01GM137751; R01GM137751; R01GM137751; R01GM137751; R01GM058015; R01CA092276; R01CA092276; R01CA092276; R01CA092276; R35GM157976; R01GM058015; R01CA092276; T32CA108459; T32CA108459; T32CA108459; R01GM058015,
Benjamin Tu,2,Howard Hughs Medical Center,50,19111108,0,0,R01GM104047; R01GM104047; R01GM104047; R01CA185169; R01CA185169; R01CA185169; R01CA185169; R01CA185169; R01GM104047; R01GM104047; R21DE035244; T32GM156537; R43DE033567; R35GM136370; R35GM136370; R35GM136370; R35GM136370; R35GM136370; R21CA293623; R35GM136370; R01GM094314; R01GM094314; R01GM094314; R01GM094314; R01NS115546; R01NS115546; R01NS115546; R01NS115546; R01NS115546; R01GM135331; R01GM135331; R01GM135331; R01GM135331; R01GM102262; R01GM102262; R01GM102262; R35GM153265; R35GM153265; R01GM102262; R01GM102262; R01GM102262; R01GM102262; R01GM105947; R01GM105947; R01GM105947; R01GM105947; R01GM094314; R01GM102262; R01GM102262; R01GM102262,
Hei Sook Sul,1,University of California - Berkeley,50,19033251,0,0,R01DK140318; R01DK140318; R01DK134757; R01DK134757; R01DK134757; R01DK123843; R01DK123843; R01DK123843; R01DK123843; R01DK112824; R01DK112824; R01DK112824; R01DK112824; R01DK112824; R01DK095338; R01DK123843; R01DK120075; R01DK123844; R01DK120075; R01DK123844; R01DK123844; R01DK120075; R01DK123844; R01DK123844; R01DK120075; R01DK050828; R01DK036264; R01DK095338; R01DK081098; R01DK081098; R01DK081098; R01DK081098; R01DK112824; R01DK095338; R01DK095338; R01DK068439; R01DK068439; R01DK093928; R01DK095338; R01DK093928; R01DK068439; R01DK093928; R01DK050828; R01DK050828; R01DK050828; R01DK093928; R01DK068439; R01DK081098; R01DK081098; R01DK050828,
Christopher Chang,1,UC Berkeley,50,18717539,0,0,T32GM066698; R01ES028096; R01ES028096; R01ES028096; T32GM066698; R01ES028096; T32GM066698; R01GM079465; T32GM066698; R01ES028096; R01GM079465; T32GM066698; R01GM079465; R01GM079465; R01GM139245; R01GM139245; T32GM066698; T32GM066698; T32GM066698; R01GM079465; R01GM079465; R01GM079465; R01GM139245; R01GM139245; R01GM139245; R01GM139245; R01GM079465; T32GM066698; R01ES028096; T32GM066698; R01GM079465; R01GM079465; R01GM079465; R01GM079465; R01ES028096; R01GM079465; R01ES028096; R01ES028096; R01GM079465; R01ES028096; R01GM079465; R01GM079465; R01GM079465; R01GM079465; R01GM079465; R01GM079465; R01GM079465; R01GM079465; K08DK061547; K08DK061547,
Alfredo Quinones-Hinojosa,1,Mayo Clinic Florida,49,18161765,0,0,R01NS129671; R01CA200399; R01CA200399; R01NS129671; R01CA200399; R01CA200399; R01NS129671; R01CA200399; R01CA284268; R01CA284268; R01CA284268; R01NS070024; R01CA216855; R01NS070024; R01NS070024; R01CA216855; R01CA216855; R01CA216855; R01NS070024; R01CA216855; R01NS070024; R01CA282451; R01CA282451; R01CA282451; R33CA240181; R33CA240181; R01CA195503; R01CA195503; R01CA195503; R01CA195503; R01CA195503; R01CA183827; R01CA183827; R01CA183827; R01CA183827; R01CA183827; R43CA221490; K08NS055851; K08NS055851; K08NS055851; K08NS055851; K08NS055851; R01CA183827; R01CA183827; R01CA195503; R01NS070024; F32NS047011; R01CA195503; R01CA195503,
Wilfried Rossoll,2,Mayo Clinic,25,17193124,0,0,RF1AG068581; RF1AG076122; R01AG068581; R01AG077771; R01AG076122; R01AG077771; R01AG077771; R01AG077771; R33NS110960; RF1AG068581; R61NS110960; R33NS110960; R21AG085314; R01NS091749; R01NS091749; R01NS091749; R01NS091749; R01NS091749; RF1AG076122; R21NS066030; R21HD056130; R21NS066030; R21HD056130; R01NS091749; R01NS091749,
Xiaokun Shu,1,"555 Mission Bay Blvd South  CVRB, 452Y (office); 484 (lab)",27,17154960,0,0,DP2GM105446; U01DK127421; U01DK127421; U01DK127421; U01DK127421; U01DK127421; R01CA279180; R01CA279180; R35GM131766; R35GM131766; R35GM131766; R35GM131766; R35GM131766; R35GM131766; R01CA258327; R01CA258327; R01CA258327; R01CA258327; R01CA258327; R01GM127664; R01GM127664; R01GM115399; R01GM115399; R01GM115399; R01GM115399; R35GM131766; R35GM131766,
Sean Morrison,1,"UT Southwestern Medical Center Dallas, Texas",50,16606847,0,0,U01CA228608; U01CA228608; U01CA228608; U01CA228608; R01HL097760; U54CA268072; R01DK083288; R01HL097760; R01HL097760; R01HL097760; U01CA228608; R01DK083288; R01DK118745; R01DK118745; R01DK118745; R01DK118745; R01DK118745; U54CA268072; R01NS040750; R01NS040750; R01NS040750; R37AG024945; R37AG024945; R37AG024945; R37AG024945; R01NS040750; R37AG024945; R37AG024945; U54CA268072; R37AG024945; R37AG024945; U54CA268072; R37AG024945; U54CA268072; R37AG024945; R01DK100848; R01DK100848; R01DK100848; R01NS040750; R01NS040750; R01NS040750; R01NS040750; R01NS040750; R21HD040760; R21HD040760; R01AG024945; R01AG024945; R01NS040750; R01NS040750; R01NS040750,
Eliza Bliss-Moreau,1,"UC Davis, dept. of Psychology",32,16503745,0,0,RF1AG063837; RF1AG078340; RF1AG078340; R56AG071486; R56AG071486; R33AG078471; R01HD096436; R01HD096436; R01HD096436; R01HD096436; R01HD096436; R21AG080198; R61AG078471; R61AG078471; R21MH112539; R21MH112539; R21HD086356; R21NS104692; R21AG058894; R21HD086356; R21AG058894; R21NS104692; K99MH101338; R01HD096436; R01HD096436; K99MH101338; R21HD086356; R21MH112539; F32MH087067; F32MH087067; F32MH087067; K99MH101338,
