pmid,title,year,journal,authors,grants
36137411,"Dermal thirdhand smoke exposure induces oxidative damage, initiates skin inflammatory markers, and adversely alters the human plasma proteome.",2022,EBioMedicine,Sakamaki-Ching S; Schick S; Grigorean G; Li J; Talbot P,
35922450,Methods to capture proteomic and metabolomic signatures from cerebrospinal fluid and serum of healthy individuals.,2022,Scientific reports,Lilley LM; Sanche S; Moore SC; Salemi MR; Vu D,S10 OD021801; S10 OD026918; U2C ES030158; NIH U2C ES030158
35905092,Comparative performance of two automated machine learning platforms for COVID-19 detection by MALDI-TOF-MS.,2022,PloS one,Rashidi HH; Pepper J; Howard T; Klein K; May L,S10 OD026918
35600141,Identification of Endogenous Peptides in Nasal Swab Transport Media used in MALDI-TOF-MS Based COVID-19 Screening.,2022,ACS omega,Tsai H; Phinney BS; Grigorean G; Salemi MR; Rashidi HH,S10 OD021801
35362616,Pseudomonas aeruginosa post-translational responses to elevated c-di-GMP levels.,2022,Molecular microbiology,Bense S; Witte J; Preuße M; Koska M; Pezoldt L,
35164882,Proximity proteomics of C9orf72 dipeptide repeat proteins identifies molecular chaperones as modifiers of poly-GA aggregation.,2022,Acta neuropathologica communications,Liu F; Morderer D; Wren MC; Vettleson-Trutza SA; Wang Y,P30 AG062677; R33 NS110960; NS084974; P01 NS084974
34982558,Deep Time Course Proteomics of SARS-CoV- and SARS-CoV-2-Infected Human Lung Epithelial Cells (Calu-3) Reveals Strong Induction of Interferon-Stimulated Gene Expression by SARS-CoV-2 in Contrast to SARS-CoV.,2022,Journal of proteome research,Grossegesse M; Bourquain D; Neumann M; Schaade L; Schulze J,
34941365,De Novo Arginine Synthesis Is Required for Full Virulence of Xanthomonas arboricola pv. juglandis During Walnut Bacterial Blight Disease.,2022,Phytopathology,Sagawa CHD; Assis RAB; Zaini PA; Saxe H; Wilmarth PA,S10 OD021801
34914922,SARS-CoV-2 infection triggers profibrotic macrophage responses and lung fibrosis.,2021,Cell,Wendisch D; Dietrich O; Mari T; von Stillfried S; Ibarra IL,
34808356,Metabolic Enzyme Alterations and Astrocyte Dysfunction in a Murine Model of Alexander Disease With Severe Reactive Gliosis.,2022,Molecular & cellular proteomics : MCP,Heaven MR; Herren AW; Flint DL; Pacheco NL; Li J,R01 HL104101; R01 NS120746
34638715,A Secreted Chorismate Mutase from Xanthomonas arboricola pv. juglandis Attenuates Virulence and Walnut Blight Symptoms.,2021,International journal of molecular sciences,Assis RAB; Sagawa CHD; Zaini PA; Saxe HJ; Wilmarth PA,S10 OD021801; D-0421-07
34491751,Alternative LC-MS/MS Platforms and Data Acquisition Strategies for Proteomic Genotyping of Human Hair Shafts.,2021,Journal of proteome research,Goecker ZC; Legg KM; Salemi MR; Herren AW; Phinney BS,S10 OD021801
